credit_risk,age,amount,credit_history,duration,employment_duration,foreign_worker,housing,installment_rate,job,number_credits,other_debtors,other_installment_plans,people_liable,personal_status_sex,present_residence,property,purpose,savings,status,telephone
good,31,6110,all credits at this bank paid back duly,48,1 <= ... < 4 yrs,no,own,>= 35,skilled employee/official,1,none,bank,0 to 2,male : married/widowed,4 <= ... < 7 yrs,real estate,repairs,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
bad,37,2100,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,co-applicant,stores,0 to 2,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,unknown/no savings account,0<= ... < 200 DM,no
good,37,1225,no credits taken/all credits paid back duly,10,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,radio/television,unknown/no savings account,0<= ... < 200 DM,yes (under customer name)
good,24,458,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,4 <= ... < 7 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... < 0 DM,no
good,30,2333,no credits taken/all credits paid back duly,30,>= 7 yrs,no,rent,< 20,manager/self-empl/highly qualif. employee,1,none,bank,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,100 <= ... < 500 DM,... >= 200 DM / salary for at least 1 year,no
good,26,1158,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,male : divorced/separated,< 1 yr,building soc. savings agr. / life insurance,furniture/equipment,100 <= ... < 500 DM,... < 0 DM,yes (under customer name)
good,44,6204,existing credits paid back duly till now,18,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,unskilled - resident,1,none,none,3 or more,male : married/widowed,>= 7 yrs,unknown / no property,domestic appliances,unknown/no savings account,... < 0 DM,yes (under customer name)
good,24,6187,all credits at this bank paid back duly,30,4 <= ... < 7 yrs,no,for free,>= 35,skilled employee/official,2-3,none,none,0 to 2,female : single,>= 7 yrs,building soc. savings agr. / life insurance,car (new),... < 100 DM,no checking account,no
bad,58,6143,all credits at this bank paid back duly,48,>= 7 yrs,no,own,< 20,unskilled - resident,2-3,none,stores,0 to 2,female : non-single or male : single,>= 7 yrs,real estate,car (new),unknown/no savings account,no checking account,no
good,35,1393,all credits at this bank paid back duly,11,< 1 yr,no,rent,< 20,manager/self-empl/highly qualif. employee,2-3,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,building soc. savings agr. / life insurance,others,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,39,2299,no credits taken/all credits paid back duly,36,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,building soc. savings agr. / life insurance,furniture/equipment,100 <= ... < 500 DM,... >= 200 DM / salary for at least 1 year,no
good,23,1352,no credits taken/all credits paid back duly,6,unemployed,no,for free,>= 35,unemployed/unskilled - non-resident,1,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,car or other,car (new),100 <= ... < 500 DM,no checking account,yes (under customer name)
good,39,7228,all credits at this bank paid back duly,11,1 <= ... < 4 yrs,no,rent,>= 35,unskilled - resident,2-3,none,none,0 to 2,male : married/widowed,>= 7 yrs,car or other,others,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,28,2073,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,co-applicant,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,... < 100 DM,... >= 200 DM / salary for at least 1 year,no
good,29,2333,existing credits paid back duly till now,24,< 1 yr,no,rent,< 20,unskilled - resident,1,none,bank,0 to 2,male : married/widowed,1 <= ... < 4 yrs,car or other,car (used),... >= 1000 DM,... < 0 DM,no
good,30,5965,existing credits paid back duly till now,27,>= 7 yrs,no,rent,>= 35,manager/self-empl/highly qualif. employee,2-3,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,car (new),unknown/no savings account,... < 0 DM,yes (under customer name)
good,25,1262,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,31,3378,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,male : married/widowed,< 1 yr,car or other,car (new),... >= 1000 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
bad,57,2225,existing credits paid back duly till now,36,>= 7 yrs,no,own,< 20,skilled employee/official,2-3,none,bank,0 to 2,male : married/widowed,>= 7 yrs,real estate,others,unknown/no savings account,... < 0 DM,yes (under customer name)
good,26,783,critical account/other credits elsewhere,6,1 <= ... < 4 yrs,no,rent,>= 35,unskilled - resident,1,guarantor,stores,3 or more,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,others,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
bad,52,6468,no credits taken/all credits paid back duly,12,unemployed,no,rent,25 <= ... < 35,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,male : married/widowed,< 1 yr,real estate,furniture/equipment,... >= 1000 DM,... < 0 DM,yes (under customer name)
good,31,9566,all credits at this bank paid back duly,36,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,2-3,none,stores,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,23,1961,no credits taken/all credits paid back duly,18,>= 7 yrs,no,rent,20 <= ... < 25,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,others,unknown/no savings account,0<= ... < 200 DM,no
bad,23,6229,all credits at this bank paid back duly,36,< 1 yr,no,for free,< 20,unskilled - resident,2-3,co-applicant,none,0 to 2,female : non-single or male : single,>= 7 yrs,real estate,car (used),unknown/no savings account,no checking account,yes (under customer name)
good,27,1391,no credits taken/all credits paid back duly,9,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,bank,0 to 2,female : single,< 1 yr,unknown / no property,retraining,unknown/no savings account,... < 0 DM,yes (under customer name)
good,50,1537,all credits at this bank paid back duly,15,>= 7 yrs,no,rent,< 20,skilled employee/official,2-3,guarantor,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,furniture/equipment,... >= 1000 DM,... < 0 DM,yes (under customer name)
bad,61,1953,delay in paying off in the past,36,>= 7 yrs,no,own,< 20,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,retraining,unknown/no savings account,... < 0 DM,yes (under customer name)
bad,25,14421,delay in paying off in the past,48,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,retraining,unknown/no savings account,... < 0 DM,yes (under customer name)
good,26,3181,no credits taken/all credits paid back duly,24,< 1 yr,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,car or other,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,48,5190,no credits taken/all credits paid back duly,27,>= 7 yrs,no,rent,< 20,skilled employee/official,>= 6,none,none,3 or more,male : married/widowed,>= 7 yrs,car or other,domestic appliances,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,29,2171,no credits taken/all credits paid back duly,12,< 1 yr,no,rent,25 <= ... < 35,skilled employee/official,1,none,bank,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,22,1007,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,female : single,< 1 yr,unknown / no property,others,500 <= ... < 1000 DM,... < 0 DM,no
bad,37,1819,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,no,own,< 20,skilled employee/official,1,none,stores,0 to 2,male : married/widowed,>= 7 yrs,real estate,repairs,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,25,2394,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,building soc. savings agr. / life insurance,furniture/equipment,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,30,8133,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,no,rent,>= 35,skilled employee/official,1,none,bank,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,car or other,car (new),unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,46,730,all credits at this bank paid back duly,7,>= 7 yrs,no,for free,< 20,unskilled - resident,2-3,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,car or other,furniture/equipment,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,51,1164,all credits at this bank paid back duly,8,>= 7 yrs,no,own,20 <= ... < 25,manager/self-empl/highly qualif. employee,2-3,none,bank,3 or more,male : married/widowed,>= 7 yrs,real estate,business,unknown/no savings account,no checking account,yes (under customer name)
good,41,5954,all credits at this bank paid back duly,42,4 <= ... < 7 yrs,no,rent,25 <= ... < 35,unskilled - resident,2-3,none,bank,0 to 2,female : non-single or male : single,< 1 yr,unknown / no property,retraining,unknown/no savings account,... < 0 DM,no
bad,40,1977,no credits taken/all credits paid back duly,36,>= 7 yrs,no,rent,< 20,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,repairs,... >= 1000 DM,no checking account,yes (under customer name)
good,66,1526,all credits at this bank paid back duly,12,>= 7 yrs,no,own,< 20,manager/self-empl/highly qualif. employee,2-3,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,car (new),unknown/no savings account,no checking account,no
bad,34,3965,no credits taken/all credits paid back duly,42,< 1 yr,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,4 <= ... < 7 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,no checking account,no
good,51,4771,existing credits paid back duly till now,11,4 <= ... < 7 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,car or other,furniture/equipment,unknown/no savings account,... < 0 DM,no
good,39,9436,delay in paying off in the past,54,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,unskilled - resident,1,none,none,3 or more,male : married/widowed,1 <= ... < 4 yrs,car or other,car (new),... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,22,3832,no credits taken/all credits paid back duly,30,< 1 yr,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,female : single,< 1 yr,car or other,car (used),unknown/no savings account,... < 0 DM,no
bad,44,5943,no credits taken/all credits paid back duly,24,< 1 yr,no,rent,>= 35,skilled employee/official,2-3,none,none,0 to 2,female : non-single or male : single,< 1 yr,building soc. savings agr. / life insurance,furniture/equipment,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,47,1213,no credits taken/all credits paid back duly,15,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,stores,0 to 2,male : married/widowed,4 <= ... < 7 yrs,car or other,furniture/equipment,100 <= ... < 500 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,24,1568,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,no,for free,20 <= ... < 25,unskilled - resident,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,car or other,retraining,... < 100 DM,... >= 200 DM / salary for at least 1 year,no
good,58,1755,no credits taken/all credits paid back duly,24,>= 7 yrs,no,rent,< 20,unskilled - resident,1,guarantor,none,0 to 2,female : non-single or male : single,>= 7 yrs,unknown / no property,business,unknown/no savings account,no checking account,yes (under customer name)
good,52,2315,no credits taken/all credits paid back duly,10,>= 7 yrs,no,rent,20 <= ... < 25,unskilled - resident,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,furniture/equipment,unknown/no savings account,no checking account,no
good,29,1412,all credits at this bank paid back duly,12,1 <= ... < 4 yrs,no,rent,< 20,manager/self-empl/highly qualif. employee,2-3,guarantor,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,unknown / no property,retraining,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,27,1295,all credits at this bank paid back duly,18,< 1 yr,no,rent,< 20,skilled employee/official,2-3,none,none,0 to 2,female : non-single or male : single,< 1 yr,car or other,car (used),unknown/no savings account,... < 0 DM,no
bad,47,12612,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,no,own,>= 35,skilled employee/official,1,none,none,3 or more,male : married/widowed,>= 7 yrs,real estate,repairs,... < 100 DM,... < 0 DM,yes (under customer name)
good,30,2249,no credits taken/all credits paid back duly,18,4 <= ... < 7 yrs,no,rent,< 20,manager/self-empl/highly qualif. employee,1,none,none,3 or more,male : married/widowed,4 <= ... < 7 yrs,building soc. savings agr. / life insurance,others,... < 100 DM,no checking account,yes (under customer name)
bad,28,1108,delay in paying off in the past,12,4 <= ... < 7 yrs,no,rent,< 20,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,4 <= ... < 7 yrs,unknown / no property,domestic appliances,unknown/no savings account,no checking account,no
good,56,618,all credits at this bank paid back duly,12,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,54,1409,all credits at this bank paid back duly,12,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,4 <= ... < 7 yrs,unknown / no property,car (new),unknown/no savings account,no checking account,no
bad,33,797,all credits at this bank paid back duly,12,>= 7 yrs,no,rent,< 20,unskilled - resident,1,none,bank,3 or more,female : non-single or male : single,4 <= ... < 7 yrs,car or other,furniture/equipment,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,20,3617,all credits at this bank paid back duly,24,>= 7 yrs,no,for free,< 20,skilled employee/official,2-3,co-applicant,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,car (used),... >= 1000 DM,0<= ... < 200 DM,no
good,54,1318,no credits taken/all credits paid back duly,12,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,others,500 <= ... < 1000 DM,... < 0 DM,yes (under customer name)
bad,58,15945,delay in paying off in the past,54,< 1 yr,no,for free,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,retraining,unknown/no savings account,... < 0 DM,yes (under customer name)
good,61,2012,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,repairs,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,34,2622,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,building soc. savings agr. / life insurance,retraining,... < 100 DM,... < 0 DM,no
good,36,2337,all credits at this bank paid back duly,36,>= 7 yrs,no,rent,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... < 0 DM,no
good,36,7057,existing credits paid back duly till now,20,4 <= ... < 7 yrs,no,for free,20 <= ... < 25,manager/self-empl/highly qualif. employee,2-3,none,bank,3 or more,male : married/widowed,>= 7 yrs,car or other,car (new),... >= 1000 DM,... < 0 DM,yes (under customer name)
good,41,1469,no credits taken/all credits paid back duly,24,>= 7 yrs,no,for free,< 20,unskilled - resident,1,none,none,0 to 2,female : single,>= 7 yrs,unknown / no property,others,... < 100 DM,... >= 200 DM / salary for at least 1 year,no
good,24,2323,no credits taken/all credits paid back duly,36,4 <= ... < 7 yrs,no,for free,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... < 0 DM,no
good,24,932,existing credits paid back duly till now,6,1 <= ... < 4 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,35,1919,all credits at this bank paid back duly,9,4 <= ... < 7 yrs,no,for free,< 20,skilled employee/official,1,none,none,0 to 2,male : married/widowed,4 <= ... < 7 yrs,building soc. savings agr. / life insurance,car (used),unknown/no savings account,... < 0 DM,yes (under customer name)
good,26,2445,no credits taken/all credits paid back duly,12,< 1 yr,no,for free,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,female : single,>= 7 yrs,building soc. savings agr. / life insurance,car (new),... >= 1000 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
bad,39,11938,all credits at this bank paid back duly,24,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,manager/self-empl/highly qualif. employee,2-3,co-applicant,none,3 or more,male : married/widowed,4 <= ... < 7 yrs,building soc. savings agr. / life insurance,business,unknown/no savings account,... < 0 DM,yes (under customer name)
bad,39,6458,critical account/other credits elsewhere,18,>= 7 yrs,no,rent,25 <= ... < 35,manager/self-empl/highly qualif. employee,2-3,none,bank,3 or more,male : married/widowed,>= 7 yrs,real estate,others,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,32,6078,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,others,unknown/no savings account,... < 0 DM,no
