instant,dteday,year,season,month,weekday,holiday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
78,2011-03-19,2011,spring,March,Saturday,0,0,Good,19,23,38,25,1424,1693,3117
79,2011-03-20,2011,spring,March,Sunday,0,0,Good,14,16,47,14,1047,1424,2471
80,2011-03-21,2011,summer,March,Monday,0,1,Clouds/Mist,18,20,74,19,401,1676,2077
81,2011-03-22,2011,summer,March,Tuesday,0,1,Good,18,22,62,15,460,2243,2703
82,2011-03-23,2011,summer,March,Wednesday,0,1,Clouds/Mist,14,17,84,16,203,1918,2121
83,2011-03-24,2011,summer,March,Thursday,0,1,Clouds/Mist,12,14,81,16,166,1699,1865
84,2011-03-25,2011,summer,March,Friday,0,1,Good,11,13,50,15,300,1910,2210
85,2011-03-26,2011,summer,March,Saturday,0,0,Good,11,13,39,14,981,1515,2496
86,2011-03-27,2011,summer,March,Sunday,0,0,Clouds/Mist,10,13,49,12,472,1221,1693
87,2011-03-28,2011,summer,March,Monday,0,1,Good,11,13,30,14,222,1806,2028
88,2011-03-29,2011,summer,March,Tuesday,0,1,Good,12,15,31,15,317,2108,2425
89,2011-03-30,2011,summer,March,Wednesday,0,1,Clouds/Mist,12,15,65,12,168,1368,1536
90,2011-03-31,2011,summer,March,Thursday,0,1,Rain/Snow/Storm,11,13,92,15,179,1506,1685
91,2011-04-01,2011,summer,April,Friday,0,1,Clouds/Mist,12,14,69,17,307,1920,2227
92,2011-04-02,2011,summer,April,Saturday,0,0,Clouds/Mist,13,16,65,13,898,1354,2252
93,2011-04-03,2011,summer,April,Sunday,0,0,Good,16,19,48,12,1651,1598,3249
94,2011-04-04,2011,summer,April,Monday,0,1,Good,24,27,43,26,734,2381,3115
95,2011-04-05,2011,summer,April,Tuesday,0,1,Clouds/Mist,17,20,64,26,167,1628,1795
96,2011-04-06,2011,summer,April,Wednesday,0,1,Good,16,19,47,18,413,2395,2808
97,2011-04-07,2011,summer,April,Thursday,0,1,Good,18,22,60,11,571,2570,3141
98,2011-04-08,2011,summer,April,Friday,0,1,Clouds/Mist,14,16,84,15,172,1299,1471
99,2011-04-09,2011,summer,April,Saturday,0,0,Clouds/Mist,14,17,88,9,879,1576,2455
100,2011-04-10,2011,summer,April,Sunday,0,0,Clouds/Mist,17,21,86,10,1188,1707,2895
101,2011-04-11,2011,summer,April,Monday,0,1,Clouds/Mist,24,28,72,22,855,2493,3348
102,2011-04-12,2011,summer,April,Tuesday,0,1,Clouds/Mist,21,25,74,18,257,1777,2034
103,2011-04-13,2011,summer,April,Wednesday,0,1,Clouds/Mist,17,21,82,17,209,1953,2162
104,2011-04-14,2011,summer,April,Thursday,0,1,Good,19,23,54,7,529,2738,3267
105,2011-04-15,2011,summer,April,Friday,1,0,Good,18,22,67,15,642,2484,3126
106,2011-04-16,2011,summer,April,Saturday,0,0,Rain/Snow/Storm,18,21,89,23,121,674,795
107,2011-04-17,2011,summer,April,Sunday,0,0,Good,19,22,48,20,1558,2186,3744
108,2011-04-18,2011,summer,April,Monday,0,1,Good,21,25,54,11,669,2760,3429
109,2011-04-19,2011,summer,April,Tuesday,0,1,Clouds/Mist,21,24,67,11,409,2795,3204
110,2011-04-20,2011,summer,April,Wednesday,0,1,Good,24,28,61,16,613,3331,3944
111,2011-04-21,2011,summer,April,Thursday,0,1,Good,19,23,41,22,745,3444,4189
112,2011-04-22,2011,summer,April,Friday,0,1,Clouds/Mist,14,16,73,15,177,1506,1683
113,2011-04-23,2011,summer,April,Saturday,0,0,Clouds/Mist,19,23,89,15,1462,2574,4036
114,2011-04-24,2011,summer,April,Sunday,0,0,Clouds/Mist,24,28,81,13,1710,2481,4191
115,2011-04-25,2011,summer,April,Monday,0,1,Good,25,29,78,12,773,3300,4073
116,2011-04-26,2011,summer,April,Tuesday,0,1,Good,26,30,73,22,678,3722,4400
117,2011-04-27,2011,summer,April,Wednesday,0,1,Clouds/Mist,25,29,84,21,547,3325,3872
118,2011-04-28,2011,summer,April,Thursday,0,1,Clouds/Mist,25,29,70,22,569,3489,4058
119,2011-04-29,2011,summer,April,Friday,0,1,Good,21,25,46,16,878,3717,4595
120,2011-04-30,2011,summer,April,Saturday,0,0,Good,19,23,50,16,1965,3347,5312
121,2011-05-01,2011,summer,May,Sunday,0,0,Clouds/Mist,19,22,76,7,1138,2213,3351
122,2011-05-02,2011,summer,May,Monday,0,1,Clouds/Mist,23,27,73,12,847,3554,4401
123,2011-05-03,2011,summer,May,Tuesday,0,1,Clouds/Mist,25,29,70,23,603,3848,4451
124,2011-05-04,2011,summer,May,Wednesday,0,1,Clouds/Mist,17,20,74,22,255,2378,2633
125,2011-05-05,2011,summer,May,Thursday,0,1,Good,19,22,44,20,614,3819,4433
126,2011-05-06,2011,summer,May,Friday,0,1,Good,20,24,59,15,894,3714,4608
127,2011-05-07,2011,summer,May,Saturday,0,0,Good,21,26,54,11,1612,3102,4714
128,2011-05-08,2011,summer,May,Sunday,0,0,Good,22,26,63,5,1401,2932,4333
129,2011-05-09,2011,summer,May,Monday,0,1,Good,22,26,59,12,664,3698,4362
130,2011-05-10,2011,summer,May,Tuesday,0,1,Good,22,26,49,8,694,4109,4803
131,2011-05-11,2011,summer,May,Wednesday,0,1,Good,22,26,63,8,550,3632,4182
132,2011-05-12,2011,summer,May,Thursday,0,1,Good,22,26,75,13,695,4169,4864
133,2011-05-13,2011,summer,May,Friday,0,1,Clouds/Mist,21,25,86,12,692,3413,4105
134,2011-05-14,2011,summer,May,Saturday,0,0,Clouds/Mist,21,25,92,9,902,2507,3409
135,2011-05-15,2011,summer,May,Sunday,0,0,Clouds/Mist,23,27,87,10,1582,2971,4553
136,2011-05-16,2011,summer,May,Monday,0,1,Good,24,28,79,9,773,3185,3958
137,2011-05-17,2011,summer,May,Tuesday,0,1,Clouds/Mist,23,27,84,19,678,3445,4123
138,2011-05-18,2011,summer,May,Wednesday,0,1,Clouds/Mist,23,26,87,13,536,3319,3855
139,2011-05-19,2011,summer,May,Thursday,0,1,Clouds/Mist,22,26,83,7,735,3840,4575
140,2011-05-20,2011,summer,May,Friday,0,1,Good,22,26,72,8,909,4008,4917
141,2011-05-21,2011,summer,May,Saturday,0,0,Good,25,29,63,8,2258,3547,5805
142,2011-05-22,2011,summer,May,Sunday,0,0,Good,25,29,75,10,1576,3084,4660
143,2011-05-23,2011,summer,May,Monday,0,1,Clouds/Mist,26,30,81,16,836,3438,4274
144,2011-05-24,2011,summer,May,Tuesday,0,1,Clouds/Mist,27,30,74,14,659,3833,4492
145,2011-05-25,2011,summer,May,Wednesday,0,1,Good,27,31,70,10,740,4238,4978
146,2011-05-26,2011,summer,May,Thursday,0,1,Good,29,33,68,13,758,3919,4677
147,2011-05-27,2011,summer,May,Friday,0,1,Good,28,32,65,16,871,3808,4679
148,2011-05-28,2011,summer,May,Saturday,0,0,Good,27,31,73,15,2001,2757,4758
149,2011-05-29,2011,summer,May,Sunday,0,0,Good,27,31,82,14,2355,2433,4788
150,2011-05-30,2011,summer,May,Monday,1,0,Good,30,34,68,9,1549,2549,4098
151,2011-05-31,2011,summer,May,Tuesday,0,1,Good,32,36,64,7,673,3309,3982
152,2011-06-01,2011,summer,June,Wednesday,0,1,Clouds/Mist,31,36,68,14,513,3461,3974
153,2011-06-02,2011,summer,June,Thursday,0,1,Good,29,32,30,20,736,4232,4968
154,2011-06-03,2011,summer,June,Friday,0,1,Good,25,29,35,17,898,4414,5312
155,2011-06-04,2011,summer,June,Saturday,0,0,Good,26,30,46,8,1869,3473,5342
156,2011-06-05,2011,summer,June,Sunday,0,0,Clouds/Mist,27,31,65,9,1685,3221,4906
157,2011-06-06,2011,summer,June,Monday,0,1,Good,28,31,60,8,673,3875,4548
158,2011-06-07,2011,summer,June,Tuesday,0,1,Good,29,33,60,13,763,4070,4833
159,2011-06-08,2011,summer,June,Wednesday,0,1,Good,32,36,62,9,676,3725,4401
160,2011-06-09,2011,summer,June,Thursday,0,1,Clouds/Mist,33,38,57,10,563,3352,3915
161,2011-06-10,2011,summer,June,Friday,0,1,Good,31,35,60,9,815,3771,4586
162,2011-06-11,2011,summer,June,Saturday,0,0,Good,30,34,65,10,1729,3237,4966
163,2011-06-12,2011,summer,June,Sunday,0,0,Good,28,32,75,11,1467,2993,4460
164,2011-06-13,2011,summer,June,Monday,0,1,Good,26,30,49,20,863,4157,5020
165,2011-06-14,2011,summer,June,Tuesday,0,1,Good,25,30,51,18,727,4164,4891
166,2011-06-15,2011,summer,June,Wednesday,0,1,Good,26,29,47,11,769,4411,5180
167,2011-06-16,2011,summer,June,Thursday,0,1,Clouds/Mist,26,30,69,14,545,3222,3767
168,2011-06-17,2011,summer,June,Friday,0,1,Good,27,30,74,10,863,3981,4844
169,2011-06-18,2011,summer,June,Saturday,0,0,Good,29,32,67,8,1807,3312,5119
170,2011-06-19,2011,summer,June,Sunday,0,0,Clouds/Mist,29,32,67,7,1639,3105,4744
171,2011-06-20,2011,summer,June,Monday,0,1,Clouds/Mist,26,30,75,10,699,3311,4010
172,2011-06-21,2011,fall,June,Tuesday,0,1,Clouds/Mist,28,32,77,11,774,4061,4835
173,2011-06-22,2011,fall,June,Wednesday,0,1,Good,30,35,71,12,661,3846,4507
174,2011-06-23,2011,fall,June,Thursday,0,1,Clouds/Mist,30,35,70,16,746,4044,4790
175,2011-06-24,2011,fall,June,Friday,0,1,Good,30,33,57,15,969,4022,4991
176,2011-06-25,2011,fall,June,Saturday,0,0,Good,28,32,48,14,1782,3420,5202
177,2011-06-26,2011,fall,June,Sunday,0,0,Good,28,32,51,6,1920,3385,5305
178,2011-06-27,2011,fall,June,Monday,0,1,Clouds/Mist,28,32,66,7,854,3854,4708
179,2011-06-28,2011,fall,June,Tuesday,0,1,Good,31,35,63,10,732,3916,4648
180,2011-06-29,2011,fall,June,Wednesday,0,1,Good,30,33,50,18,848,4377,5225
181,2011-06-30,2011,fall,June,Thursday,0,1,Good,29,32,43,12,1027,4488,5515
182,2011-07-01,2011,fall,July,Friday,0,1,Good,30,33,40,7,1246,4116,5362
183,2011-07-02,2011,fall,July,Saturday,0,0,Good,30,33,44,8,2204,2915,5119
184,2011-07-03,2011,fall,July,Sunday,0,0,Clouds/Mist,29,33,68,15,2282,2367,4649
185,2011-07-04,2011,fall,July,Monday,1,0,Clouds/Mist,30,33,64,5,3065,2978,6043
186,2011-07-05,2011,fall,July,Tuesday,0,1,Good,31,35,59,8,1031,3634,4665
187,2011-07-06,2011,fall,July,Wednesday,0,1,Good,30,34,74,10,784,3845,4629
188,2011-07-07,2011,fall,July,Thursday,0,1,Good,31,34,65,11,754,3838,4592
189,2011-07-08,2011,fall,July,Friday,0,1,Clouds/Mist,29,34,76,15,692,3348,4040
190,2011-07-09,2011,fall,July,Saturday,0,0,Good,30,33,61,11,1988,3348,5336
191,2011-07-10,2011,fall,July,Sunday,0,0,Good,31,35,58,12,1743,3138,4881
192,2011-07-11,2011,fall,July,Monday,0,1,Good,31,36,64,19,723,3363,4086
193,2011-07-12,2011,fall,July,Tuesday,0,1,Good,33,37,56,13,662,3596,4258
194,2011-07-13,2011,fall,July,Wednesday,0,1,Good,31,34,63,10,748,3594,4342
195,2011-07-14,2011,fall,July,Thursday,0,1,Good,28,32,48,16,888,4196,5084
196,2011-07-15,2011,fall,July,Friday,0,1,Good,27,31,59,12,1318,4220,5538
197,2011-07-16,2011,fall,July,Saturday,0,0,Good,28,32,58,14,2418,3505,5923
198,2011-07-17,2011,fall,July,Sunday,0,0,Good,29,33,60,16,2006,3296,5302
199,2011-07-18,2011,fall,July,Monday,0,1,Good,31,35,65,14,841,3617,4458
200,2011-07-19,2011,fall,July,Tuesday,0,1,Good,32,37,65,9,752,3789,4541
201,2011-07-20,2011,fall,July,Wednesday,0,1,Good,32,37,71,8,644,3688,4332
202,2011-07-21,2011,fall,July,Thursday,0,1,Clouds/Mist,33,41,69,15,632,3152,3784
203,2011-07-22,2011,fall,July,Friday,0,1,Good,35,42,58,9,562,2825,3387
204,2011-07-23,2011,fall,July,Saturday,0,0,Good,35,40,50,9,987,2298,3285
205,2011-07-24,2011,fall,July,Sunday,0,0,Good,34,40,55,11,1050,2556,3606
206,2011-07-25,2011,fall,July,Monday,0,1,Good,30,36,76,6,568,3272,3840
207,2011-07-26,2011,fall,July,Tuesday,0,1,Good,32,35,54,13,750,3840,4590
208,2011-07-27,2011,fall,July,Wednesday,0,1,Good,32,35,40,12,755,3901,4656
209,2011-07-28,2011,fall,July,Thursday,0,1,Good,32,37,58,12,606,3784,4390
210,2011-07-29,2011,fall,July,Friday,0,1,Good,34,39,54,12,670,3176,3846
211,2011-07-30,2011,fall,July,Saturday,0,0,Good,33,36,47,11,1559,2916,4475
212,2011-07-31,2011,fall,July,Sunday,0,0,Good,33,36,48,11,1524,2778,4302
213,2011-08-01,2011,fall,August,Monday,0,1,Good,32,35,55,11,729,3537,4266
214,2011-08-02,2011,fall,August,Tuesday,0,1,Good,32,35,49,14,801,4044,4845
215,2011-08-03,2011,fall,August,Wednesday,0,1,Clouds/Mist,30,34,66,9,467,3107,3574
216,2011-08-04,2011,fall,August,Thursday,0,1,Clouds/Mist,29,33,76,13,799,3777,4576
217,2011-08-05,2011,fall,August,Friday,0,1,Good,29,33,63,12,1023,3843,4866
218,2011-08-06,2011,fall,August,Saturday,0,0,Clouds/Mist,29,34,76,15,1521,2773,4294
219,2011-08-07,2011,fall,August,Sunday,0,0,Good,30,36,75,13,1298,2487,3785
220,2011-08-08,2011,fall,August,Monday,0,1,Good,31,35,59,13,846,3480,4326
221,2011-08-09,2011,fall,August,Tuesday,0,1,Good,32,36,57,10,907,3695,4602
222,2011-08-10,2011,fall,August,Wednesday,0,1,Good,31,34,42,13,884,3896,4780
223,2011-08-11,2011,fall,August,Thursday,0,1,Good,29,33,42,11,812,3980,4792
224,2011-08-12,2011,fall,August,Friday,0,1,Good,29,33,42,8,1051,3854,4905
225,2011-08-13,2011,fall,August,Saturday,0,0,Clouds/Mist,28,32,73,14,1504,2646,4150
226,2011-08-14,2011,fall,August,Sunday,0,0,Clouds/Mist,28,31,82,15,1338,2482,3820
227,2011-08-15,2011,fall,August,Monday,0,1,Good,27,31,71,14,775,3563,4338
228,2011-08-16,2011,fall,August,Tuesday,0,1,Good,29,32,58,16,721,4004,4725
229,2011-08-17,2011,fall,August,Wednesday,0,1,Good,30,33,58,10,668,4026,4694
230,2011-08-18,2011,fall,August,Thursday,0,1,Good,29,33,65,16,639,3166,3805
231,2011-08-19,2011,fall,August,Friday,0,1,Clouds/Mist,28,32,72,9,797,3356,4153
232,2011-08-20,2011,fall,August,Saturday,0,0,Good,29,32,67,7,1914,3277,5191
233,2011-08-21,2011,fall,August,Sunday,0,0,Good,29,34,77,17,1249,2624,3873
234,2011-08-22,2011,fall,August,Monday,0,1,Good,28,32,47,19,833,3925,4758
235,2011-08-23,2011,fall,August,Tuesday,0,1,Good,26,30,46,10,1281,4614,5895
236,2011-08-24,2011,fall,August,Wednesday,0,1,Good,28,32,60,17,949,4181,5130
237,2011-08-25,2011,fall,August,Thursday,0,1,Clouds/Mist,28,32,77,14,435,3107,3542
238,2011-08-26,2011,fall,August,Friday,0,1,Good,29,33,76,6,768,3893,4661
239,2011-08-27,2011,fall,August,Saturday,0,0,Clouds/Mist,28,32,85,25,226,889,1115
240,2011-08-28,2011,fall,August,Sunday,0,0,Good,29,32,56,20,1415,2919,4334
241,2011-08-29,2011,fall,August,Monday,0,1,Good,26,30,55,11,729,3905,4634
242,2011-08-30,2011,fall,August,Tuesday,0,1,Good,26,30,55,8,775,4429,5204
243,2011-08-31,2011,fall,August,Wednesday,0,1,Good,27,31,60,6,688,4370,5058
244,2011-09-01,2011,fall,September,Thursday,0,1,Good,27,31,64,10,783,4332,5115
245,2011-09-02,2011,fall,September,Friday,0,1,Clouds/Mist,26,30,73,9,875,3852,4727
246,2011-09-03,2011,fall,September,Saturday,0,0,Good,27,32,72,12,1935,2549,4484
247,2011-09-04,2011,fall,September,Sunday,0,0,Good,29,33,74,14,2521,2419,4940
248,2011-09-05,2011,fall,September,Monday,1,0,Clouds/Mist,28,31,79,14,1236,2115,3351
249,2011-09-06,2011,fall,September,Tuesday,0,1,Rain/Snow/Storm,22,26,89,23,204,2506,2710
250,2011-09-07,2011,fall,September,Wednesday,0,1,Rain/Snow/Storm,25,27,92,7,118,1878,1996
251,2011-09-08,2011,fall,September,Thursday,0,1,Rain/Snow/Storm,26,28,94,13,153,1689,1842
252,2011-09-09,2011,fall,September,Friday,0,1,Clouds/Mist,27,29,90,8,417,3127,3544
253,2011-09-10,2011,fall,September,Saturday,0,0,Good,27,30,75,10,1750,3595,5345
254,2011-09-11,2011,fall,September,Sunday,0,0,Good,27,30,71,8,1633,3413,5046
255,2011-09-12,2011,fall,September,Monday,0,1,Good,26,30,69,6,690,4023,4713
256,2011-09-13,2011,fall,September,Tuesday,0,1,Good,27,30,71,10,701,4062,4763
257,2011-09-14,2011,fall,September,Wednesday,0,1,Good,28,31,70,11,647,4138,4785
258,2011-09-15,2011,fall,September,Thursday,0,1,Clouds/Mist,24,28,71,18,428,3231,3659
259,2011-09-16,2011,fall,September,Friday,0,1,Clouds/Mist,19,23,59,11,742,4018,4760
260,2011-09-17,2011,fall,September,Saturday,0,0,Clouds/Mist,20,24,72,13,1434,3077,4511
261,2011-09-18,2011,fall,September,Sunday,0,0,Good,21,25,70,12,1353,2921,4274
262,2011-09-19,2011,fall,September,Monday,0,1,Clouds/Mist,23,26,69,10,691,3848,4539
263,2011-09-20,2011,fall,September,Tuesday,0,1,Clouds/Mist,23,27,88,9,438,3203,3641
264,2011-09-21,2011,fall,September,Wednesday,0,1,Clouds/Mist,24,28,90,6,539,3813,4352
265,2011-09-22,2011,fall,September,Thursday,0,1,Clouds/Mist,26,28,90,9,555,4240,4795
266,2011-09-23,2011,winter,September,Friday,0,1,Clouds/Mist,25,26,97,5,258,2137,2395
267,2011-09-24,2011,winter,September,Saturday,0,0,Clouds/Mist,25,28,86,5,1776,3647,5423
268,2011-09-25,2011,winter,September,Sunday,0,0,Clouds/Mist,26,29,84,3,1544,3466,5010
269,2011-09-26,2011,winter,September,Monday,0,1,Clouds/Mist,27,29,85,7,684,3946,4630
270,2011-09-27,2011,winter,September,Tuesday,0,1,Clouds/Mist,26,29,89,8,477,3643,4120
271,2011-09-28,2011,winter,September,Wednesday,0,1,Clouds/Mist,26,29,85,10,480,3427,3907
272,2011-09-29,2011,winter,September,Thursday,0,1,Good,25,29,70,12,653,4186,4839
273,2011-09-30,2011,winter,September,Friday,0,1,Good,23,27,65,14,830,4372,5202
274,2011-10-01,2011,winter,October,Saturday,0,0,Clouds/Mist,17,21,75,20,480,1949,2429
275,2011-10-02,2011,winter,October,Sunday,0,0,Clouds/Mist,15,17,79,15,616,2302,2918
276,2011-10-03,2011,winter,October,Monday,0,1,Clouds/Mist,16,20,76,6,330,3240,3570
277,2011-10-04,2011,winter,October,Tuesday,0,1,Good,20,24,71,14,486,3970,4456
278,2011-10-05,2011,winter,October,Wednesday,0,1,Good,22,26,65,12,559,4267,4826
279,2011-10-06,2011,winter,October,Thursday,0,1,Good,20,24,62,9,639,4126,4765
280,2011-10-07,2011,winter,October,Friday,0,1,Good,21,25,68,2,949,4036,4985
281,2011-10-08,2011,winter,October,Saturday,0,0,Good,21,26,70,3,2235,3174,5409
282,2011-10-09,2011,winter,October,Sunday,0,0,Good,22,26,73,4,2397,3114,5511
283,2011-10-10,2011,winter,October,Monday,1,0,Good,23,27,73,3,1514,3603,5117
284,2011-10-11,2011,winter,October,Tuesday,0,1,Clouds/Mist,23,27,81,10,667,3896,4563
285,2011-10-12,2011,winter,October,Wednesday,0,1,Rain/Snow/Storm,22,26,91,17,217,2199,2416
286,2011-10-13,2011,winter,October,Thursday,0,1,Clouds/Mist,24,28,90,9,290,2623,2913
287,2011-10-14,2011,winter,October,Friday,0,1,Clouds/Mist,23,26,72,15,529,3115,3644
288,2011-10-15,2011,winter,October,Saturday,0,0,Good,21,25,48,17,1899,3318,5217
289,2011-10-16,2011,winter,October,Sunday,0,0,Good,21,25,49,19,1748,3293,5041
290,2011-10-17,2011,winter,October,Monday,0,1,Good,22,26,58,12,713,3857,4570
291,2011-10-18,2011,winter,October,Tuesday,0,1,Clouds/Mist,22,26,70,7,637,4111,4748
292,2011-10-19,2011,winter,October,Wednesday,0,1,Rain/Snow/Storm,22,26,90,16,254,2170,2424
