cmedv,age,b,chas,crim,dis,indus,lat,lon,lstat,nox,ptratio,rad,rm,tax,town,tract,zn
20.6,77.3,396.9,0,0.04294,3.615,15.04,42.284,-71.0615,10.59,0.464,18.2,4,6.249,270,Stoneham,3373,28
28.4,57.8,357.98,0,0.12204,3.4952,2.89,42.2775,-71.076,6.65,0.445,18,2,6.625,276,Winchester,3381,0
21.4,69.6,391.83,0,0.11504,3.4952,2.89,42.2775,-71.085,11.34,0.445,18,2,6.163,276,Winchester,3382,0
38.7,76,396.9,0,0.12083,3.4952,2.89,42.2715,-71.089,4.21,0.445,18,2,8.069,276,Winchester,3383,0
43.8,36.9,393.53,0,0.08187,3.4952,2.89,42.2685,-71.0982,3.57,0.445,18,2,7.82,276,Winchester,3384,0
33.2,62.5,396.9,0,0.0686,3.4952,2.89,42.268,-71.08,6.19,0.445,18,2,7.416,276,Winchester,3385,0
27.5,79.9,394.76,0,0.14866,2.7778,8.56,42.2545,-71.0668,9.42,0.52,20.9,5,6.727,384,Medford,3391,0
26.5,71.3,395.58,0,0.11432,2.8561,8.56,42.245,-71.081,7.67,0.52,20.9,5,6.781,384,Medford,3392,0
18.6,85.4,70.8,0,0.22876,2.7147,8.56,42.2515,-71.0812,10.63,0.52,20.9,5,6.405,384,Medford,3393,0
19.3,87.4,394.47,0,0.21161,2.7147,8.56,42.249,-71.077,13.44,0.52,20.9,5,6.137,384,Medford,3394,0
20.1,90,392.69,0,0.1396,2.421,8.56,42.248,-71.069,12.33,0.52,20.9,5,6.167,384,Medford,3395,0
19.5,96.7,394.05,0,0.13262,2.1069,8.56,42.2425,-71.0662,16.47,0.52,20.9,5,5.851,384,Medford,3396,0
19.5,91.9,395.67,0,0.1712,2.211,8.56,42.2431,-71.0622,18.66,0.52,20.9,5,5.836,384,Medford,3397,0
20.4,85.2,387.69,0,0.13117,2.1224,8.56,42.2465,-71.0553,14.09,0.52,20.9,5,6.127,384,Medford,3398,0
19.8,97.1,395.24,0,0.12802,2.4329,8.56,42.2505,-71.055,12.27,0.52,20.9,5,6.474,384,Medford,3399,0
19.4,91.2,391.23,0,0.26363,2.5451,8.56,42.254,-71.06,15.55,0.52,20.9,5,6.229,384,Medford,3400,0
21.7,54.4,393.49,0,0.10793,2.7778,8.56,42.2605,-71.056,13,0.52,20.9,5,6.195,384,Medford,3401,0
22.8,81.6,395.59,0,0.10084,2.6775,10.01,42.261,-71.0475,10.16,0.547,17.8,6,6.715,432,Malden,3411,0
18.8,92.9,394.95,0,0.12329,2.3534,10.01,42.253,-71.049,16.21,0.547,17.8,6,5.913,432,Malden,3412,0
18.7,95.4,396.9,0,0.22212,2.548,10.01,42.258,-71.0428,17.09,0.547,17.8,6,6.092,432,Malden,3413,0
18.5,84.2,388.74,0,0.14231,2.2565,10.01,42.2512,-71.0396,10.45,0.547,17.8,6,6.254,432,Malden,3414,0
18.3,88.2,344.91,0,0.17134,2.4631,10.01,42.2545,-71.0355,15.76,0.547,17.8,6,5.928,432,Malden,3415,0
21.2,72.5,393.3,0,0.13158,2.7301,10.01,42.2608,-71.036,12.04,0.547,17.8,6,6.176,432,Malden,3416,0
19.2,82.6,394.51,0,0.15098,2.7474,10.01,42.262,-71.0285,10.3,0.547,17.8,6,6.021,432,Malden,3417,0
20.4,73.1,338.63,0,0.13058,2.4775,10.01,42.258,-71.0285,15.37,0.547,17.8,6,5.872,432,Malden,3418,0
19.3,65.2,391.5,0,0.14476,2.7592,10.01,42.2605,-71.019,13.61,0.547,17.8,6,5.731,432,Malden,3419,0
22,69.7,389.15,0,0.06899,2.2577,25.65,42.2483,-71.0243,14.37,0.581,19.1,2,5.87,188,Everett,3421,0
20.3,84.1,377.67,0,0.07165,2.1974,25.65,42.2505,-71.0312,14.27,0.581,19.1,2,6.004,188,Everett,3422,0
20.5,92.9,378.09,0,0.09299,2.0869,25.65,42.247,-71.0377,17.93,0.581,19.1,2,5.961,188,Everett,3423,0
17.3,97,370.31,0,0.15038,1.9444,25.65,42.2435,-71.037,25.41,0.581,19.1,2,5.856,188,Everett,3424,0
18.8,95.8,379.38,0,0.09849,2.0063,25.65,42.245,-71.0308,17.58,0.581,19.1,2,5.879,188,Everett,3425,0
21.4,88.4,385.02,0,0.16902,1.9929,25.65,42.2431,-71.0262,14.81,0.581,19.1,2,5.986,188,Everett,3426,0
15.7,95.6,359.29,0,0.38735,1.7572,25.65,42.2395,-71.0333,27.26,0.581,19.1,2,5.613,188,Everett,3427,0
16.2,96,392.11,0,0.25915,1.7883,21.89,42.2355,-71.053,17.19,0.624,21.2,4,5.693,437,Somerville,3501,0
18,98.8,396.9,0,0.32543,1.8125,21.89,42.235,-71.058,15.39,0.624,21.2,4,6.431,437,Somerville,3502,0
14.3,94.7,396.9,0,0.88125,1.9799,21.89,42.2368,-71.0638,18.34,0.624,21.2,4,5.637,437,Somerville,3503,0
19.2,98.9,395.04,0,0.34006,2.1185,21.89,42.239,-71.0692,12.6,0.624,21.2,4,6.458,437,Somerville,3504,0
19.6,97.7,396.9,0,1.19294,2.271,21.89,42.24,-71.075,12.26,0.624,21.2,4,6.326,437,Somerville,3505,0
23,97.9,385.76,0,0.59005,2.3274,21.89,42.2405,-71.0745,11.12,0.624,21.2,4,6.372,437,Somerville,3506,0
18.4,95.4,388.69,0,0.32982,2.4699,21.89,42.245,-71.079,15.03,0.624,21.2,4,5.822,437,Somerville,3507,0
15.6,98.4,262.76,0,0.97617,2.346,21.89,42.2405,-71.076,17.31,0.624,21.2,4,5.757,437,Somerville,3508,0
18.1,98.2,394.67,0,0.55778,2.1107,21.89,42.2362,-71.075,16.96,0.624,21.2,4,6.335,437,Somerville,3509,0
17.4,93.5,378.25,0,0.32264,1.9669,21.89,42.2335,-71.0677,16.9,0.624,21.2,4,5.942,437,Somerville,3510,0
17.1,98.4,394.08,0,0.35233,1.8498000000000001,21.89,42.2325,-71.063,14.59,0.624,21.2,4,6.454,437,Somerville,3511,0
13.3,98.2,392.04,0,0.2498,1.6686,21.89,42.2275,-71.062,21.32,0.624,21.2,4,5.857,437,Somerville,3512,0
17.8,97.9,396.9,0,0.54452,1.6687,21.89,42.23,-71.0568,18.46,0.624,21.2,4,6.151,437,Somerville,3513,0
14,93.6,388.08,0,0.2909,1.6119,21.89,42.2312,-71.0518,24.16,0.624,21.2,4,6.174,437,Somerville,3514,0
14.4,100,396.9,0,1.62864,1.4394,21.89,42.2265,-71.0543,34.41,0.624,21.2,4,5.019,437,Somerville,3515,0
13.4,100,396.9,1,3.32105,1.3216,19.58,42.2222,-71.048,26.82,0.871,14.7,5,5.403,403,Cambridge,3521,0
15.6,100,396.9,0,4.0974,1.4118,19.58,42.223,-71.0519,26.42,0.871,14.7,5,5.468,403,Cambridge,3522,0
11.8,97.8,396.9,0,2.77974,1.3459,19.58,42.2205,-71.051,29.29,0.871,14.7,5,4.903,403,Cambridge,3523,0
13.8,100,172.91,0,2.37934,1.4191,19.58,42.219,-71.054,27.8,0.871,14.7,5,6.13,403,Cambridge,3524,0
15.6,100,169.27,0,2.15505,1.5166,19.58,42.221,-71.059,16.65,0.871,14.7,5,5.628,403,Cambridge,3525,0
14.6,95.7,391.71,0,2.36862,1.4608,19.58,42.2222,-71.0555,29.53,0.871,14.7,5,4.926,403,Cambridge,3526,0
17.8,93.8,356.99,0,2.33099,1.5296,19.58,42.224,-71.0567,28.32,0.871,14.7,5,5.186,403,Cambridge,3527,0
15.4,94.9,351.85,0,2.73397,1.5257,19.58,42.223,-71.058,21.45,0.871,14.7,5,5.597,403,Cambridge,3528,0
21.5,97.3,372.8,0,1.6566,1.618,19.58,42.2236,-71.062,14.1,0.871,14.7,5,6.122,403,Cambridge,3529,0
19.6,100,341.6,0,1.49632,1.5916,19.58,42.2205,-71.0622,13.28,0.871,14.7,5,5.404,403,Cambridge,3530,0
15.3,88,343.28,1,1.12658,1.6102,19.58,42.217,-71.059,12.12,0.871,14.7,5,5.012,403,Cambridge,3531,0
19.4,98.5,261.95,0,2.14918,1.6232,19.58,42.215,-71.0645,15.79,0.871,14.7,5,5.709,403,Cambridge,3532,0
17,96,321.02,1,1.41385,1.7494,19.58,42.2162,-71.0662,15.12,0.871,14.7,5,6.129,403,Cambridge,3533,0
15.6,82.6,88.01,1,3.53501,1.7455,19.58,42.215,-71.068,15.02,0.871,14.7,5,6.152,403,Cambridge,3534,0
13.1,94,88.63,0,2.44668,1.7364,19.58,42.22,-71.0667,16.14,0.871,14.7,5,5.272,403,Cambridge,3535,0
41.3,97.4,363.43,0,1.22358,1.8773,19.58,42.2285,-71.069,4.59,0.605,14.7,5,6.943,403,Cambridge,3536,0
24.3,100,353.89,0,1.34284,1.7573,19.58,42.2245,-71.067,6.43,0.605,14.7,5,6.066,403,Cambridge,3537,0
23.3,100,364.31,0,1.42502,1.7659,19.58,42.2223,-71.065,7.39,0.871,14.7,5,6.51,403,Cambridge,3538,0
27,92.6,338.92,1,1.27346,1.7984,19.58,42.2214,-71.07,5.5,0.605,14.7,5,6.25,403,Cambridge,3539,0
50,90.8,374.43,0,1.46336,1.9709,19.58,42.2282,-71.0735,1.73,0.605,14.7,5,7.489,403,Cambridge,3540,0
50,98.2,389.61,1,1.83377,2.0407,19.58,42.225,-71.077,1.92,0.605,14.7,5,7.802,403,Cambridge,3541,0
50,93.9,388.45,1,1.51902,2.162,19.58,42.225,-71.0815,3.32,0.605,14.7,5,8.375,403,Cambridge,3542,0
22.7,91.8,395.11,0,2.24236,2.422,19.58,42.2265,-71.0918,11.64,0.605,14.7,5,5.854,403,Cambridge,3543,0
25,93,240.16,0,2.924,2.2834,19.58,42.2295,-71.082,9.81,0.605,14.7,5,6.101,403,Cambridge,3544,0
50,96.2,369.3,0,2.01019,2.0459,19.58,42.2305,-71.077,3.7,0.605,14.7,5,7.929,403,Cambridge,3545,0
23.8,79.2,227.61,0,1.80028,2.4259,19.58,42.2345,-71.0866,12.14,0.605,14.7,5,5.877,403,Cambridge,3546,0
23.8,96.1,297.09,0,2.3004,2.1,19.58,42.2331,-71.074,11.1,0.605,14.7,5,6.319,403,Cambridge,3547,0
22.3,95.2,330.04,0,2.44953,2.2625,19.58,42.2351,-71.0775,11.32,0.605,14.7,5,6.402,403,Cambridge,3548,0
17.4,94.6,292.29,0,1.20742,2.4259,19.58,42.2368,-71.081,14.43,0.605,14.7,5,5.875,403,Cambridge,3549,0
19.1,97.3,348.13,0,2.3139,2.3887,19.58,42.239,-71.0792,12.03,0.605,14.7,5,5.88,403,Cambridge,3550,0
23.1,88.5,396.9,0,0.13914,2.5961,4.05,42.2416,-71.087,14.69,0.51,16.6,5,5.572,296,Arlington,3561,0
23.6,84.1,395.5,0,0.09178,2.6463,4.05,42.245,-71.0855,9.04,0.51,16.6,5,6.416,296,Arlington,3562,0
22.6,68.7,393.23,0,0.08447,2.7019,4.05,42.2475,-71.0833,9.64,0.51,16.6,5,5.859,296,Arlington,3563,0
29.4,33.1,390.96,0,0.06664,3.1323,4.05,42.2575,-71.094,5.33,0.51,16.6,5,6.546,296,Arlington,3564,0
23.2,47.2,393.23,0,0.07022,3.5549,4.05,42.255,-71.1125,10.11,0.51,16.6,5,6.02,296,Arlington,3565,0
24.6,73.4,395.6,0,0.05425,3.3175,4.05,42.2512,-71.106,6.29,0.51,16.6,5,6.315,296,Arlington,3566,0
29.9,74.4,391.27,0,0.06642,2.9153,4.05,42.247,-71.0965,6.92,0.51,16.6,5,6.86,296,Arlington,3567,0
37.2,58.4,396.9,0,0.0578,2.829,2.46,42.2408,-71.1,5.04,0.488,17.8,3,6.98,193,Belmont,3571,0
39.8,83.3,395.56,0,0.06588,2.741,2.46,42.2345,-71.0995,7.56,0.488,17.8,3,7.765,193,Belmont,3572,0
36.2,62.2,396.9,0,0.06888,2.5979,2.46,42.2282,-71.0966,9.45,0.488,17.8,3,6.144,193,Belmont,3573,0
37.9,92.2,394.12,0,0.09103,2.7006,2.46,42.2287,-71.1005,4.82,0.488,17.8,3,7.155,193,Belmont,3574,0
32.5,95.6,396.9,0,0.10008,2.847,2.46,42.23,-71.1065,5.68,0.488,17.8,3,6.563,193,Belmont,3575,0
26.4,89.8,391,0,0.08308,2.9879,2.46,42.23,-71.112,13.98,0.488,17.8,3,5.604,193,Belmont,3576,0
29.6,68.8,387.11,0,0.06047,3.2797,2.46,42.235,-71.1175,13.15,0.488,17.8,3,6.153,193,Belmont,3577,0
50,53.6,392.63,0,0.05602,3.1992,2.46,42.2442,-71.1115,4.45,0.488,17.8,3,7.831,193,Belmont,3578,0
32,41.1,393.87,0,0.07875,3.7886,3.44,42.2565,-71.122,6.68,0.437,15.2,5,6.782,398,Lexington,3581,45
29.8,29.1,382.84,0,0.12579,4.5667,3.44,42.255,-71.1408,4.56,0.437,15.2,5,6.556,398,Lexington,3583,45
34.9,38.9,396.9,0,0.0837,4.5667,3.44,42.2651,-71.145,5.39,0.437,15.2,5,7.185,398,Lexington,3584,45
33,21.5,377.68,0,0.09068,6.4798,3.44,42.27,-71.1216,5.1,0.437,15.2,5,6.951,398,Lexington,3585,45
30.5,30.8,389.71,0,0.06911,6.4798,3.44,42.2765,-71.1485,4.69,0.437,15.2,5,6.739,398,Lexington,3586,45
36.4,26.3,390.49,0,0.08664,6.4798,3.44,42.2785,-71.134,2.87,0.437,15.2,5,7.178,398,Lexington,3587,45
31.1,9.9,393.37,0,0.02187,6.2196,2.93,42.3,-71.1525,5.03,0.401,15.6,1,6.8,265,Bedford,3591,60
29.1,18.8,376.7,0,0.01439,6.2196,2.93,42.303,-71.1633,4.38,0.401,15.6,1,6.604,265,Bedford,3592,60
50,32,394.23,0,0.01381,5.6484,0.46,42.2525,-71.189,2.97,0.422,14.4,4,7.875,255,Lincoln,3602,80
33.3,34.1,396.9,0,0.04011,7.309,1.52,42.2715,-71.22,4.08,0.404,12.6,2,7.287,329,Concord,3611,80
30.3,36.6,354.31,0,0.04666,7.309,1.52,42.2725,-71.24,8.61,0.404,12.6,2,7.107,329,Concord,3612,80
34.6,38.3,392.2,0,0.03768,7.309,1.52,42.289,-71.222,6.62,0.404,12.6,2,7.274,329,Concord,3613,80
34.9,15.3,396.9,0,0.0315,7.6534,1.47,42.2425,-71.244,4.56,0.403,17,3,6.975,402,Sudbury,3651,95
32.9,13.9,384.3,0,0.01778,7.6534,1.47,42.2225,-71.263,4.45,0.403,17,3,7.135,402,Sudbury,3652,95
24.1,38.4,393.77,0,0.03445,6.27,2.03,42.1955,-71.2185,7.43,0.415,14.7,2,6.162,348,Wayland,3661,82.5
42.3,15.7,395.38,0,0.02177,6.27,2.03,42.218,-71.214,3.11,0.415,14.7,2,7.61,348,Wayland,3662,82.5
48.5,33.2,392.78,0,0.0351,5.118,2.68,42.232,-71.199,3.81,0.4161,14.7,4,7.853,224,Weston,3671,95
50,31.9,390.55,0,0.02009,5.118,2.68,42.2058,-71.199,2.88,0.4161,14.7,4,8.034,224,Weston,3672,95
22.6,22.3,396.9,0,0.13642,3.9454,10.59,42.2445,-71.1475,10.87,0.489,18.6,4,5.891,277,Waltham,3681,0
24.4,52.5,394.87,0,0.22969,4.3549,10.59,42.2308,-71.15,10.97,0.489,18.6,4,6.326,277,Waltham,3682,0
